Cell Methods,Mask,label,title,Regex,Variables,UID
area: mean where sea_ice (mask=siconc) time: point,siconc,amnsi-tpt,Instantaneous over Sea-Ice,1,"SImon.sidivvel,SImon.sishearvel,SImon.sistressave,SImon.sistressmax",a269a4cf-8c9b-11ef-944e-41a8eb05f654
area: mean where sector time: point,,amnlu-tpt,Instantaneous Mean on Landuse Tiles,1,"Eyr.cLitterLut,Eyr.cProductLut,Eyr.cSoilLut,Eyr.cVegLut",a269a4d0-8c9b-11ef-944e-41a8eb05f654
area: mean where snow over sea_ice area: time: mean where sea_ice,,amnsnsi-tmn,Weighted Time Mean over Area of Snow on Sea-Ice,1,"SIday.sisnthick,SImon.sisnthick",a269a4d1-8c9b-11ef-944e-41a8eb05f654
area: mean where stratiform_cloud time: point,,amnsc-tpt,Instantaneous Mean over Stratiform Cloud,1,"CF3hr.reffclis,CF3hr.reffclws,Esubhr.reffclis,Esubhr.reffclws",8552c395-da6a-11ef-ad2e-15144caece00
area: mean where vegetation (mask=vegFrac),vegFrac,amnv-fx,Fixed Area Mean on Vegetation,1,,2d8aaa35-b8b0-11ef-a837-1f323b3b21a2
area: point,,apt-fx,Point Values,1,"fx.lat,fx.lon,Ofx.dxto,Ofx.dxuo,Ofx.dxvo,Ofx.dyto,Ofx.dyuo,Ofx.dyvo",a269a4d2-8c9b-11ef-944e-41a8eb05f654
area: point time: point,,apt-tpt,Instantaneous Point Values,1,"6hrPlevPt.intvaw,CFsubhr.ccb,CFsubhr.cct,CFsubhr.ci,CFsubhr.cl,CFsubhr.cli,CFsubhr.clivi,CFsubhr.clt,CFsubhr.clw,CFsubhr.clwvi,CFsubhr.edt,CFsubhr.evspsbl,CFsubhr.evu,CFsubhr.fco2antt,CFsubhr.fco2fos,CFsubhr.fco2nat,CFsubhr.hfls,CFsubhr.hfss,CFsubhr.hur,CFsubhr.hurs,CFsubhr.hus,CFsubhr.huss,CFsubhr.mc,CFsubhr.pfull,CFsubhr.phalf,CFsubhr.pr,CFsubhr.prc,CFsubhr.prsn,CFsubhr.prw,CFsubhr.ps,CFsubhr.psl,CFsubhr.rld,CFsubhr.rldcs,CFsubhr.rlds,CFsubhr.rldscs,CFsubhr.rlu,CFsubhr.rlucs,CFsubhr.rlus,CFsubhr.rlut,CFsubhr.rlutcs,CFsubhr.rsd,CFsubhr.rsdcs,CFsubhr.rsds,CFsubhr.rsdscs,CFsubhr.rsdt,CFsubhr.rsu,CFsubhr.rsucs,CFsubhr.rsus,CFsubhr.rsuscs,CFsubhr.rsut,CFsubhr.rsutcs,CFsubhr.rtmt,CFsubhr.sbl,CFsubhr.sci,CFsubhr.sfcWind,CFsubhr.ta,CFsubhr.tas,CFsubhr.tauu,CFsubhr.tauv,CFsubhr.tnhus,CFsubhr.tnhusa,CFsubhr.tnhusc,CFsubhr.tnhusd,CFsubhr.tnhusmp,CFsubhr.tnhusscpbl,CFsubhr.tnt,CFsubhr.tnta,CFsubhr.tntc,CFsubhr.tntmp,CFsubhr.tntr,CFsubhr.tntscpbl,CFsubhr.ts,CFsubhr.ua,CFsubhr.uas,CFsubhr.va,CFsubhr.vas,CFsubhr.wap,CFsubhr.zg,E3hrPt.conccn,E3hrPt.mmraerh2o,E3hrPt.mmrbc,E3hrPt.mmrdust,E3hrPt.mmrnh4,E3hrPt.mmrno3,E3hrPt.mmroa,E3hrPt.mmrso4,E3hrPt.mmrss,E3hrPt.so2,Esubhr.tnhuspbl,Esubhr.tnhusscp,Esubhr.tntd,Esubhr.tntpbl,Esubhr.tntrl,Esubhr.tntrlcs,Esubhr.tntrs,Esubhr.tntrscs,Esubhr.tntscp",a269a4d3-8c9b-11ef-944e-41a8eb05f654
area: sum,,asm-fx,Fixed Area Sum,1,"fx.areacella,fx.areacellr,IfxAnt.areacellg,IfxGre.areacellg,Ofx.areacello,Ofx.volcello",a269a4d4-8c9b-11ef-944e-41a8eb05f654
area: sum time: mean,,asm-tmn,Time Mean of Area Sum,,"IyrAnt.modelCellAreai,IyrGre.modelCellAreai,SIday.siarean,SIday.siareas,SIday.sisnmassn,SIday.sisnmasss,SIday.sivoln,SIday.sivols,SImon.siarean,SImon.siareas,SImon.sisnmassn,SImon.sisnmasss,SImon.sivoln,SImon.sivols",2d8aaa34-b8b0-11ef-a837-1f323b3b21a2
area: sum where floating_ice_shelf (mask=sftflf) time: mean,sftflf,asmfi-twm,Area Sum Time Mean on Floating Ice Shelf,1,"IyrAnt.iareafl,IyrGre.iareafl",8552c396-da6a-11ef-ad2e-15144caece00
area: sum where grounded_ice_sheet (mask=sfgrlf) time: mean,sftgrf,asmgi-twm,Area Sum Time Mean on Grounded Ice Sheet,1,"IyrAnt.iareagr,IyrGre.iareagr",8552c397-da6a-11ef-ad2e-15144caece00
area: sum where ice_sheet time: mean,,asmi-tmn,Time Mean of Area Sum on Ice Sheet,1,"IyrAnt.lim,IyrAnt.limnsw,IyrAnt.tendacabf,IyrAnt.tendlibmassbf,IyrAnt.tendlicalvf,IyrGre.lim,IyrGre.limnsw,IyrGre.tendacabf,IyrGre.tendlibmassbf,IyrGre.tendlicalvf",a269a4d5-8c9b-11ef-944e-41a8eb05f654
area: sum where sea time: mean,,asms-tmn,Time Mean of Area Sum on Sea-ice,1,"Odec.masso,Odec.volcello,Omon.masso,Omon.volcello,Omon.wmo,Oyr.volcello",a269a4d6-8c9b-11ef-944e-41a8eb05f654
area: time: mean,,amn-twm,Area and Time Mean,1,"3hr.clt,3hr.evspsblsoi,3hr.evspsblveg,3hr.hfdsl,3hr.hfls,3hr.hfss,3hr.pr,3hr.prsn,3hr.rlds,3hr.rlus,3hr.rsds,3hr.rsus,3hr.srfrad,3hr.tran,3hr.ua100m,3hr.va100m,6hrPlev.hurs,6hrPlev.huss,6hrPlev.pr,6hrPlev.prra,6hrPlev.prsn,6hrPlev.ps,6hrPlev.psl,6hrPlev.rlds,6hrPlev.rsds,6hrPlev.sfcWind,6hrPlev.tas,6hrPlev.ts,6hrPlev.uas,6hrPlev.vas,AERday.co,AERday.cod,AERday.drynh3,AERday.drynh4,AERday.drynoy,AERday.mmraerh2o,AERday.mmrbc,AERday.mmrdust,AERday.mmrnh4,AERday.mmrno3,AERday.mmroa,AERday.mmrso4,AERday.mmrsoa,AERday.mmrss,AERday.od550aer,AERday.sfpm1,AERday.sfpm10,AERday.sfpm25,AERday.so2,AERday.toz,AERday.wetnh3,AERday.wetnh4,AERday.wetnoy,AERhr.ps,AERhr.sfno2,AERhr.sfo3,AERhr.sfpm1,AERhr.sfpm10,AERhr.sfpm25,AERhr.tas,AERmon.abs550aer,AERmon.abs550bc,AERmon.abs550dust,AERmon.abs550no3,AERmon.abs550oa,AERmon.abs550so4,AERmon.abs550ss,AERmon.airmass,AERmon.aoanh,AERmon.bldep,AERmon.c2h4,AERmon.c2h5oh,AERmon.c2h6,AERmon.c3h6,AERmon.c3h8,AERmon.c4h10,AERmon.ccn,AERmon.ccn1,AERmon.ccn02,AERmon.cdnc,AERmon.cfc114,AERmon.ch3coch3,AERmon.ch3oh,AERmon.ch4,AERmon.ch4losssoil,AERmon.cheaqpso4,AERmon.chegph2oo1d,AERmon.chegpso4,AERmon.chepasoa,AERmon.chepnh4,AERmon.chepno3,AERmon.chepsoa,AERmon.cltc,AERmon.co,AERmon.co2,AERmon.cod,AERmon.conccn,AERmon.dms,AERmon.do3chm,AERmon.drybc,AERmon.drydust,AERmon.dryh2,AERmon.dryhno3,AERmon.drynh3,AERmon.drynh4,AERmon.dryno3,AERmon.drynoy,AERmon.dryo3,AERmon.dryoa,AERmon.dryso2,AERmon.dryso4,AERmon.dryss,AERmon.emiach4,AERmon.emiaco,AERmon.emianox,AERmon.emiaoa,AERmon.emiavnox,AERmon.emibbbc,AERmon.emibbch4,AERmon.emibbco,AERmon.emibbdms,AERmon.emibbnh3,AERmon.emibbnox,AERmon.emibboa,AERmon.emibbso2,AERmon.emibbvoc,AERmon.emibc,AERmon.emibvoc,AERmon.emic2h4,AERmon.emic2h5oh,AERmon.emic2h6,AERmon.emic3h6,AERmon.emic3h8,AERmon.emic4h10,AERmon.emich3oh,AERmon.emich4,AERmon.emico,AERmon.emidms,AERmon.emidust,AERmon.emih2,AERmon.emiisop,AERmon.emilkch4,AERmon.emilnox,AERmon.eminh3,AERmon.eminox,AERmon.emioa,AERmon.emiso2,AERmon.emiso4,AERmon.emiss,AERmon.emivoc,AERmon.h2,AERmon.h2loss,AERmon.h2o,AERmon.h2prod,AERmon.hcfc22,AERmon.hcho,AERmon.hcl,AERmon.hfc125,AERmon.hfc134a,AERmon.hno3,AERmon.isop,AERmon.jno2,AERmon.lossch4,AERmon.lossco,AERmon.lossn2o,AERmon.lwp,AERmon.meanage,AERmon.mmraerh2o,AERmon.mmrbc,AERmon.mmrdust,AERmon.mmrnh4,AERmon.mmrno3,AERmon.mmroa,AERmon.mmrpm1,AERmon.mmrpm2p5,AERmon.mmrpm10,AERmon.mmrso4,AERmon.mmrsoa,AERmon.mmrss,AERmon.n2o,AERmon.nh50,AERmon.no,AERmon.no2,AERmon.o3,AERmon.o3loss,AERmon.o3prod,AERmon.o3ste,AERmon.od443aer,AERmon.od550aer,AERmon.od550aerh2o,AERmon.od550bb,AERmon.od550bc,AERmon.od550csaer,AERmon.od550dust,AERmon.od550lt1aer,AERmon.od550no3,AERmon.od550oa,AERmon.od550so4,AERmon.od550soa,AERmon.od550ss,AERmon.od865aer,AERmon.oh,AERmon.pan,AERmon.pfull,AERmon.phalf,AERmon.photo1d,AERmon.ptp,AERmon.reffclwtop,AERmon.rluscsaf,AERmon.rlutaf,AERmon.rlutch4ref,AERmon.rlutcsaf,AERmon.rlutcsch4ref,AERmon.rlutcso3ref,AERmon.rluto3ref,AERmon.rsutaf,AERmon.rsutch4ref,AERmon.rsutcsaf,AERmon.rsutcsch4ref,AERmon.rsutcso3ref,AERmon.rsuto3ref,AERmon.so2,AERmon.stratch4loss,AERmon.tatp,AERmon.tntrl,AERmon.tntrs,AERmon.toz,AERmon.tropch4loss,AERmon.tropch4lossoh,AERmon.tropdo3chm,AERmon.tropo3ste,AERmon.tropoz,AERmon.ttop,AERmon.ua,AERmon.va,AERmon.wa,AERmon.wetbc,AERmon.wetdust,AERmon.wethno3,AERmon.wetnh3,AERmon.wetnh4,AERmon.wetno3,AERmon.wetnoy,AERmon.wetoa,AERmon.wetso2,AERmon.wetso4,AERmon.wetss,AERmon.zg,AERmon.ztp,Amon.aod550volso4,Amon.ci,Amon.cl,Amon.cli,Amon.clivi,Amon.clt,Amon.clw,Amon.clwvi,Amon.evspsbl,Amon.fco2antt,Amon.fco2fos,Amon.fco2nat,Amon.hfls,Amon.hfss,Amon.hurs,Amon.huss,Amon.mc,Amon.pr,Amon.prc,Amon.prra,Amon.prsn,Amon.prw,Amon.ps,Amon.psl,Amon.rlds,Amon.rldscs,Amon.rlus,Amon.rluscs,Amon.rlut,Amon.rlutcs,Amon.rsds,Amon.rsdscs,Amon.rsdt,Amon.rsus,Amon.rsuscs,Amon.rsut,Amon.rsutcs,Amon.rtmt,Amon.sbl,Amon.sci,Amon.sfcWind,Amon.tas,Amon.tauu,Amon.tauv,Amon.ts,Amon.uas,Amon.vas,CFday.cl,CFday.cli,CFday.clivi,CFday.cltcalipso,CFday.cltisccp,CFday.clw,CFday.clwvi,CFday.hur,CFday.hur700,CFday.hus,CFday.mc,CFday.pfull,CFday.phalf,CFday.ps,CFday.rldscs,CFday.rlutcs,CFday.rsdscs,CFday.rsdt,CFday.rsuscs,CFday.rsut,CFday.rsutcs,CFday.ta,CFday.ua,CFday.va,CFday.wap,CFday.zg,CFmon.clc,CFmon.clic,CFmon.clis,CFmon.clivimodis,CFmon.clmodisiceReff,CFmon.clmodisliquid,CFmon.clmodisliquidReff,CFmon.cls,CFmon.cltcalipso,CFmon.cltisccp,CFmon.cltmodis,CFmon.clwc,CFmon.clws,CFmon.clwvimodis,CFmon.dmc,CFmon.edt,CFmon.evu,CFmon.hur,CFmon.hus,CFmon.mcd,CFmon.mcu,CFmon.rld,CFmon.rld4co2,CFmon.rldcs,CFmon.rldcs4co2,CFmon.rlu,CFmon.rlu4co2,CFmon.rlucs,CFmon.rlucs4co2,CFmon.rlut4co2,CFmon.rlutcs4co2,CFmon.rsd,CFmon.rsd4co2,CFmon.rsdcs,CFmon.rsdcs4co2,CFmon.rsu,CFmon.rsu4co2,CFmon.rsucs,CFmon.rsucs4co2,CFmon.rsut4co2,CFmon.rsutcs4co2,CFmon.smc,CFmon.ta,CFmon.tnhus,CFmon.tnhusa,CFmon.tnhusc,CFmon.tnhusd,CFmon.tnhusmp,CFmon.tnhusscpbl,CFmon.tnt,CFmon.tnta,CFmon.tntc,CFmon.tntmp,CFmon.tntr,CFmon.tntscpbl,day.clt,day.hfls,day.hfss,day.hurs,day.huss,day.noaahi2m,day.noaahi2mmax,day.pr,day.prc,day.prsn,day.psl,day.rlds,day.rls,day.rlus,day.rluscs,day.rlut,day.rsds,day.rsdt,day.rss,day.rsus,day.rsut,day.sfcWind,day.snc,day.tas,day.uas,day.vas,day.wbgt2m,day.wbgt2mmax,E1hr.bldep,E1hr.clt,E1hr.hfls,E1hr.hfss,E1hr.hurs,E1hr.pr,E1hr.rlds,E1hr.rlus,E1hr.rsds,E1hr.rsdsdiff,E1hr.rsus,E1hr.sfcWind,E1hr.tas,E1hr.ts,E3hr.clivi,E3hr.clwvi,E3hr.prw,E3hr.rlut,E3hr.rlutcs,E3hr.rsut,E3hr.rsutcs,E3hr.sfcWind,Eday.ccldncl,Eday.cldnci,Eday.cldnvi,Eday.clivic,Eday.clwvic,Eday.evspsblsoi,Eday.evspsblveg,Eday.flashrate,Eday.intuadse,Eday.intuaw,Eday.intvadse,Eday.intvaw,Eday.jpdftaureicemodis,Eday.jpdftaureliqmodis,Eday.loadbc,Eday.loaddust,Eday.loadnh4,Eday.loadno3,Eday.loadoa,Eday.loadpoa,Eday.loadso4,Eday.loadsoa,Eday.loadss,Eday.mrro,Eday.prw,Eday.rsdscsdiff,Eday.rsdsdiff,Eday.scldncl,Eday.tauu,Eday.tauupbl,Eday.tauv,Eday.tauvpbl,Eday.tdps,Eday.ts,Emon.albsrfc,Emon.ccldncl,Emon.cldnci,Emon.cldncl,Emon.cldnvi,Emon.climodis,Emon.cltmodis,Emon.clwmodis,Emon.co2s,Emon.co23D,Emon.cropFracC3,Emon.cropFracC4,Emon.depdust,Emon.ec550aer,Emon.flashrate,Emon.grassFracC3,Emon.grassFracC4,Emon.intuadse,Emon.intuaw,Emon.intvadse,Emon.intvaw,Emon.jpdftaureicemodis,Emon.jpdftaureliqmodis,Emon.loadso4,Emon.pastureFracC3,Emon.pastureFracC4,Emon.pr2h,Emon.pr17O,Emon.pr18O,Emon.prsn2h,Emon.prsn18O,Emon.reffccwctop,Emon.rls,Emon.rss,Emon.rsusoni,Emon.scldncl,Emon.sw18O,Emon.tdps,Emon.tnhuspbl,Emon.tnhusscp,Emon.tntd,Emon.tntpbl,Emon.tntrlcs,Emon.tntrscs,Emon.tntscp,Emon.treeFracBdlDcd,Emon.treeFracBdlEvg,Emon.treeFracNdlDcd,Emon.treeFracNdlEvg,Emon.vegFrac,Emon.wetlandFrac,Eyr.baresoilFrac,Eyr.cropFrac,Eyr.grassFrac,Eyr.residualFrac,Eyr.shrubFrac,Eyr.treeFrac,Eyr.vegFrac,IyrAnt.sftflf,IyrAnt.sftgif,IyrAnt.sftgrf,IyrGre.sftflf,IyrGre.sftgif,IyrGre.sftgrf,LImon.sftflf,LImon.sftgif,LImon.sftgrf,LImon.snc,Lmon.baresoilFrac,Lmon.burntFractionAll,Lmon.c3PftFrac,Lmon.c4PftFrac,Lmon.cropFrac,Lmon.grassFrac,Lmon.landCoverFrac,Lmon.pastureFrac,Lmon.residualFrac,Lmon.shrubFrac,Lmon.treeFrac,Oday.bigthetao200,Oday.chl200,Oday.co3satarag200,Oday.co3200,Oday.o2200,Oday.ph200,Oday.phyc200,Oday.thetao200,SIday.siconc,SIday.siconca,SIday.siextentn,SIday.siextents,SImon.siconc,SImon.siconca,SImon.siextentn,SImon.siextents",a269a4d7-8c9b-11ef-944e-41a8eb05f654
area: time: mean (monthly mean fixed annual cycle),,amn-fxc,Area and Fixed Monthly Mean,1,AERfx.o3refClim,d699cbc4-b93b-11ef-a837-1f323b3b21a2
area: time: mean (over land and sea ice),,amnlsi-twm,Weighted TIme Mean Excluding Ice-free Ocean,1,day.tslsi,a269a4d8-8c9b-11ef-944e-41a8eb05f654
area: time: mean where air,,amna-twm,Weighted Time Mean in Air,,"6hrPlev.rv850,6hrPlev.zg1000,AERday.ua10,AERday.zg10,AERday.zg500,AERday.zg1000,CFday.clcalipso,CFday.clhcalipso,CFday.clisccp,CFday.cllcalipso,CFday.clmcalipso,CFday.ta700,CFday.wap500,CFmon.clcalipso,CFmon.clhcalipso,CFmon.clisccp,CFmon.cllcalipso,CFmon.clmcalipso,CFmon.clmodis,CFmon.clmodisice,Eday.ta850,Eday.utendnogw,Eday.utendogw,Eday.vtendnogw,Eday.vtendogw,Emon.cfadDbze94,Emon.cfadLidarsr532,Emon.clmisr,Emon.tauunoegw,Emon.tauunowgw,Emon.tauuogw,Emon.tauvnogw,Emon.tauvogw,Emon.ua,Emon.va",a269a4d9-8c9b-11ef-944e-41a8eb05f654
area: time: mean where cloud,,amncl-twm,Weighted Time Mean on Cloud,1,"CFday.albisccp,CFday.pctisccp,CFmon.albisccp,CFmon.pctisccp",a269a4da-8c9b-11ef-944e-41a8eb05f654
area: time: mean where convective_cloud (weighted by total convective cloud area),,amcc-twm,Weighted Time Mean on Convective Cloud,,"Amon.ccb,Amon.cct,CFday.ccb,CFday.cct,Eday.reffcclwtop,Emon.reffcclwtop,Emon.reffclic,Emon.reffclwc",a269a4db-8c9b-11ef-944e-41a8eb05f654
area: time: mean where crops (mask=cropFrac),cropFrac,amncrp-twm,Weighted Time Mean on Crops,1,Eday.prCrop,a269a4dc-8c9b-11ef-944e-41a8eb05f654
area: time: mean where floating_ice_shelf (mask=sftflf),sftflf,amnfi-twm,Weighted Time Mean on Floating Ice Shelf,1,"ImonAnt.libmassbffl,ImonAnt.litempbotfl,ImonGre.libmassbffl,ImonGre.litempbotfl,IyrAnt.libmassbffl,IyrAnt.litempbotfl,IyrGre.libmassbffl,IyrGre.litempbotfl",a269a4dd-8c9b-11ef-944e-41a8eb05f654
area: time: mean where grounded_ice_sheet (mask=sfgrlf),sftgrf,amngi-twm,Weighted Time Mean on Grounded Ice Sheet,1,"ImonAnt.libmassbfgr,ImonAnt.litempbotgr,ImonGre.libmassbfgr,ImonGre.litempbotgr,IyrAnt.hfgeoubed,IyrAnt.libmassbfgr,IyrAnt.litempbotgr,IyrAnt.topg,IyrGre.hfgeoubed,IyrGre.libmassbfgr,IyrGre.litempbotgr,IyrGre.topg",a269a4de-8c9b-11ef-944e-41a8eb05f654
area: time: mean where ice_free_sea over sea,,,,,"Emon.rsdsoni,Omon.hfevapds,Omon.hfrainds",80ac3149-a698-11ef-914a-613c0433d878
area: time: mean where ice_sheet,,amni-twm,Weighted Time Mean on Ice Sheet,1,"Emon.rsdsis,Emon.rsusis,ImonAnt.acabf,ImonAnt.hfls,ImonAnt.hfss,ImonAnt.icem,ImonAnt.licalvf,ImonAnt.lifmassbf,ImonAnt.litemptop,ImonAnt.mrroLi,ImonAnt.orog,ImonAnt.prra,ImonAnt.prsn,ImonAnt.rlds,ImonAnt.rlus,ImonAnt.rsds,ImonAnt.rsus,ImonAnt.sbl,ImonAnt.snc,ImonAnt.snicefreez,ImonAnt.snicem,ImonAnt.snm,ImonAnt.tas,ImonAnt.ts,ImonAnt.tsn,ImonGre.acabf,ImonGre.hfls,ImonGre.hfss,ImonGre.icem,ImonGre.licalvf,ImonGre.lifmassbf,ImonGre.litemptop,ImonGre.mrroLi,ImonGre.orog,ImonGre.prra,ImonGre.prsn,ImonGre.rlds,ImonGre.rlus,ImonGre.rsds,ImonGre.rsus,ImonGre.sbl,ImonGre.snc,ImonGre.snicefreez,ImonGre.snicem,ImonGre.snm,ImonGre.tas,ImonGre.ts,ImonGre.tsn,IyrAnt.acabf,IyrAnt.licalvf,IyrAnt.lifmassbf,IyrAnt.litemptop,IyrAnt.lithk,IyrAnt.orog,IyrAnt.snc,IyrAnt.strbasemag,IyrAnt.xvelbase,IyrAnt.xvelmean,IyrAnt.xvelsurf,IyrAnt.yvelbase,IyrAnt.yvelmean,IyrAnt.yvelsurf,IyrAnt.zvelbase,IyrAnt.zvelsurf,IyrGre.acabf,IyrGre.licalvf,IyrGre.lifmassbf,IyrGre.litemptop,IyrGre.lithk,IyrGre.orog,IyrGre.snc,IyrGre.strbasemag,IyrGre.xvelbase,IyrGre.xvelmean,IyrGre.xvelsurf,IyrGre.yvelbase,IyrGre.yvelmean,IyrGre.yvelsurf,IyrGre.zvelbase,IyrGre.zvelsurf,LImon.acabfIs,LImon.hflsIs,LImon.hfssIs,LImon.icemIs,LImon.litemptopIs,LImon.mrroIs,LImon.orogIs,LImon.prraIs,LImon.prsnIs,LImon.rldsIs,LImon.rlusIs,LImon.rsdsIs,LImon.rsusIs,LImon.sblIs,LImon.sncIs,LImon.snicefreezIs,LImon.snicemIs,LImon.snmIs,LImon.tasIs,LImon.tsIs,LImon.tsnIs",a269a4df-8c9b-11ef-944e-41a8eb05f654
area: time: mean where natural_grasses (mask=grassFrac),grassFrac,amng-twm,Weighted Time Mean on Natural Grasses,1,"Emon.cVegGrass,Emon.gppGrass,Emon.nppGrass,Emon.raGrass,Emon.rhGrass,Emon.vegHeightGrass",a269a4e0-8c9b-11ef-944e-41a8eb05f654
area: time: mean where pastures (mask=pastureFrac),pastureFrac,amnp-twm,Weighted Time Mean on Pastures,1,,a269a4e1-8c9b-11ef-944e-41a8eb05f654
area: time: mean where sea_ice,,,,,,80ab72ab-a698-11ef-914a-613c0433d878
area: time: mean where sea_ice (mask=siconc),siconc,amnsi-twm,Weighted Time Mean on Sea-Ice,1,"Emon.rsdssi,Emon.rsussi,SIday.siage,SIday.sifb,SIday.siflcondbot,SIday.siflcondtop,SIday.sifllattop,SIday.sifllwdtop,SIday.sifllwutop,SIday.siflsensbot,SIday.siflsenstop,SIday.siflswdbot,SIday.siflswdtop,SIday.siflswutop,SIday.siitdconc,SIday.siitdsnconc,SIday.siitdsnthick,SIday.siitdthick,SIday.simpconc,SIday.simpeffconc,SIday.simprefrozen,SIday.simpthick,SIday.sirdgconc,SIday.sirdgthick,SIday.sisali,SIday.sisaltmass,SIday.sisnhc,SIday.sispeed,SIday.sitempbot,SIday.sitempsnic,SIday.sitemptop,SIday.sithick,SIday.siu,SIday.siv,SImon.siage,SImon.sialgc,SImon.sichl,SImon.sicompstren,SImon.sidragbot,SImon.sidragtop,SImon.sifb,SImon.siflcondbot,SImon.siflcondtop,SImon.siflfwbot,SImon.siflfwdrain,SImon.siflsaltbot,SImon.siflsensbot,SImon.siflswdbot,SImon.siforcecoriolx,SImon.siforcecorioly,SImon.siforceintstrx,SImon.siforceintstry,SImon.siforcetiltx,SImon.siforcetilty,SImon.sigpp,SImon.siitdconc,SImon.simpconc,SImon.simpeffconc,SImon.sino3,SImon.sipr,SImon.sirdgconc,SImon.sisali,SImon.sisi,SImon.sisnconc,SImon.sisndmassdyn,SImon.sisndmassmelt,SImon.sisndmasssi,SImon.sisndmasssnf,SImon.sisndmasssubl,SImon.sisndmasswind,SImon.sisnhc,SImon.sisnmass,SImon.sispeed,SImon.sistrxdtop,SImon.sistrxubot,SImon.sistrydtop,SImon.sistryubot,SImon.sitempbot,SImon.sitempsnic,SImon.sitemptop,SImon.sithick,SImon.siu,SImon.siv",a269a4e2-8c9b-11ef-944e-41a8eb05f654
area: time: mean where sea_ice (mask=siconca),siconca,amnsia-twm,Weighted Time Mean on Sea-Ice (Atmospheric Grid),1,"SImon.sifllattop,SImon.sifllwdtop,SImon.sifllwutop,SImon.siflsenstop,SImon.siflswdtop,SImon.siflswutop",a269a4e3-8c9b-11ef-944e-41a8eb05f654
area: time: mean where sea_ice (mask=siitdconc),siitdconc,amnsib-twm,Weighted Time Mean in Sea-Ice Thickness Bands,1,"SImon.siitdsnconc,SImon.siitdsnthick,SImon.siitdthick",a269a4e4-8c9b-11ef-944e-41a8eb05f654
area: time: mean where sea_ice_melt_pond (mask=simpconc),simpconc,amnsimp-twm,Weighted Time Mean in Sea-Ice Melt Ponds,1,"SImon.simprefrozen,SImon.simpthick",a269a4e5-8c9b-11ef-944e-41a8eb05f654
area: time: mean where sea_ice_ridges (mask=sirdgconc),sirdgconc,amnsirdg-twm,Weighted Time Mean on Sea-Ice Rdges,1,SImon.sirdgthick,a269a4e6-8c9b-11ef-944e-41a8eb05f654
